"","Pools","Year","Max_RSYL_Date","Max_RSYL","Max_AMAC_Date","Max_AMAC","Max_Depth","Max_Length","Max_Width","Park","LatDD","LongDD","Freq","Mean.Lat","PDSI"
"1","ANWR35 I-1",2004,"5/11/2004",1,"5/11/2004",1,39.5,54.7,41.5,"MHN",46.94722222,-67.87555556,7,45.523678645614,0.34
"2","ANWR35 I-1",2013,"5/30/2013",5,"5/30/2013",18,62,57,31.5,"MHN",46.94722222,-67.87555556,7,45.523678645614,0.57
"3","ANWR35 I-1",2014,"5/21/2014",137,"5/28/2014",42,66,72.6,35,"MHN",46.94722222,-67.87555556,7,45.523678645614,1.7
"4","ANWR35 I-1",2015,"5/13/2015",13,"5/13/2015",9,58.42,83.85,37.2,"MHN",46.94722222,-67.87555556,7,45.523678645614,-1.79
"5","ANWR35 I-1",2016,"5/10/2016",121,"5/21/2016",34,44.45,81,41,"MHN",46.94722222,-67.87555556,7,45.523678645614,-0.88
"6","ANWR35 I-1",2017,"5/12/2017",190,"5/12/2017",100,58.4,70,46,"MHN",46.94722222,-67.87555556,7,45.523678645614,1.1
"7","ANWR35 I-1",2018,"5/16/2018",194,"5/16/2018",31,45.7,51,26.8,"MHN",46.94722222,-67.87555556,7,45.523678645614,-0.83
"8","ANWR56b",2004,"5/10/2004",0,"5/10/2004",0,18,26,8.3,"MHN",46.93305556,-67.86527778,4,45.523678645614,0.34
"9","ANWR56b",2013,"5/30/2013",260,"5/30/2013",2,32,43,21,"MHN",46.93305556,-67.86527778,4,45.523678645614,0.57
"10","ANWR56b",2014,"5/15/2014",5,"5/27/2014",1,25,23.7,11.5,"MHN",46.93305556,-67.86527778,4,45.523678645614,1.7
"11","ANWR56b",2015,"5/12/2015",7,"5/18/2015",10,26.67,35.05,13.4,"MHN",46.93305556,-67.86527778,4,45.523678645614,-1.79
"12","ANWRGRNLAW",2013,"5/31/2013",2,"5/21/2015",0,88,72,19,"MHN",46.930441,-67.900555,6,45.523678645614,0.57
"13","ANWRGRNLAW",2014,"5/21/2014",12,"6/3/2014",4,55,46.9,13.45,"MHN",46.930441,-67.900555,6,45.523678645614,1.7
"14","ANWRGRNLAW",2015,"5/14/2015",21,"5/14/2015",18,54.61,50,19.6,"MHN",46.930441,-67.900555,6,45.523678645614,-1.79
"15","ANWRGRNLAW",2016,"5/12/2016",3,"5/21/2016",9,58.42,56,16,"MHN",46.930441,-67.900555,6,45.523678645614,-0.88
"16","ANWRGRNLAW",2017,"5/9/2017",65,"5/17/2017",12,88.9,61,19,"MHN",46.930441,-67.900555,6,45.523678645614,1.1
"17","ANWRGRNLAW",2018,"5/14/2018",5,"5/14/2018",24,62.2,50,18.4,"MHN",46.930441,-67.900555,6,45.523678645614,-0.83
"18","ANWRGRNLW15-2",2015,"5/14/2015",50,"5/20/2015",12,38,17,7.8,"MHN",46.92263,-67.9075,4,45.523678645614,-1.79
"19","ANWRGRNLW15-2",2016,"5/21/2016",54,"5/21/2016",22,80.48,8.4,4.8,"MHN",46.92263,-67.9075,4,45.523678645614,-0.88
"20","ANWRGRNLW15-2",2017,"5/17/2017",111,"5/17/2017",30,17.2,6.7,124.5,"MHN",46.92263,-67.9075,4,45.523678645614,1.1
"21","ANWRGRNLW15-2",2018,"5/13/2018",97,"5/22/2018",20,45.7,13,7.3,"MHN",46.92263,-67.9075,4,45.523678645614,-0.83
"22","ANWRGRNLW15-3",2015,"5/20/2015",123,"5/20/2015",21,40.6,22.5,7,"MHN",46.92216,-67.90955,4,45.523678645614,-1.79
"23","ANWRGRNLW15-3",2016,"5/12/2016",146,"5/21/2016",34,39.37,31,6.5,"MHN",46.92216,-67.90955,4,45.523678645614,-0.88
"24","ANWRGRNLW15-3",2017,"5/17/2017",204,"5/17/2017",46,55.8,29.5,6.5,"MHN",46.92216,-67.90955,4,45.523678645614,1.1
"25","ANWRGRNLW15-3",2018,"5/13/2018",118,"5/13/2018",34,38,25,9,"MHN",46.92216,-67.90955,4,45.523678645614,-0.83
"26","ANWRGRNLW15-6",2015,"5/17/2015",20,"5/17/2015",4,33.02,10.65,7.7,"MHN",46.92585,-67.92207,4,45.523678645614,-1.79
"27","ANWRGRNLW15-6",2016,"5/21/2016",3,"5/21/2016",4,9,10.4,22.86,"MHN",46.92585,-67.92207,4,45.523678645614,-0.88
"28","ANWRGRNLW15-6",2017,"5/12/2017",2,"5/12/2017",0,40.6,12.9,8.6,"MHN",46.92585,-67.92207,4,45.523678645614,1.1
"29","ANWRGRNLW15-6",2018,"5/13/2018",1,"5/12/2018",6,38.1,10,8.8,"MHN",46.92585,-67.92207,4,45.523678645614,-0.83
"30","ANWRLMAD15-3",2015,"5/23/2015",0,"5/23/2015",29,43.18,13.6,10.93,"MHN",46.96896,-68.0185,4,45.523678645614,-1.79
"31","ANWRLMAD15-3",2016,"5/12/2016",1,"5/12/2016",30,64.77,16,13,"MHN",46.96896,-68.0185,4,45.523678645614,-0.88
"32","ANWRLMAD15-3",2017,"5/9/2017",52,"5/21/2017",61,90.1,22.25,19.1,"MHN",46.96896,-68.0185,4,45.523678645614,1.1
"33","ANWRLMAD15-3",2018,"5/13/2018",46,"5/13/2018",62,68.5,17,13.8,"MHN",46.96896,-68.0185,4,45.523678645614,-0.83
"34","ANWRLoring Trail-C",2014,"5/8/2014",2,"5/8/2014",11,24,4.5,3,"MHN",46.94605,-67.86478,5,45.523678645614,1.7
"35","ANWRLoring Trail-C",2015,"5/21/2015",4,"5/21/2015",12,40.64,15.7,13,"MHN",46.94605,-67.86478,5,45.523678645614,-1.79
"36","ANWRLoring Trail-C",2016,"5/10/2016",7,"5/19/2016",15,33.02,7.5,6.5,"MHN",46.94605,-67.86478,5,45.523678645614,-0.88
"37","ANWRLoring Trail-C",2017,"5/16/2017",3,"5/16/2017",17,38.1,8.1,10.5,"MHN",46.94605,-67.86478,5,45.523678645614,1.1
"38","ANWRLoring Trail-C",2018,"5/17/2018",0,"5/17/2018",10,30.4,8,6,"MHN",46.94605,-67.86478,5,45.523678645614,-0.83
"39","ANWRLoring Trail-S",2018,"5/17/2018",27,"5/17/2018",40,33,23,8,"MHN",46.94426,-67.86518,5,45.523678645614,-0.83
"40","ANWRLoring Trail-S",2014,"5/28/2014",30,"5/28/2014",35,29.5,23,5.75,"MHN",46.94426,-67.86518,5,45.523678645614,1.7
"41","ANWRLoring Trail-S",2015,"5/21/2015",63,"5/21/2015",61,27.94,23.25,8.2,"MHN",46.94426,-67.86518,5,45.523678645614,-1.79
"42","ANWRLoring Trail-S",2016,"5/10/2016",60,"5/10/2016",60,33.02,19,10.5,"MHN",46.94426,-67.86518,5,45.523678645614,-0.88
"43","ANWRLoring Trail-S",2018,"5/17/2018",27,"5/17/2018",40,33,23,8,"MHN",46.94426,-67.86518,5,45.523678645614,-0.83
"44","ANWRNEBR",2013,"5/21/2013",2,"5/21/2013",0,45,22,9,"MHN",46.939834,-67.934616,6,45.523678645614,0.57
"45","ANWRNEBR",2014,"5/15/2014",27,"5/15/2014",0,33,17.5,8.5,"MHN",46.939834,-67.934616,6,45.523678645614,1.7
"46","ANWRNEBR",2015,"5/12/2015",45,"5/20/2015",9,17,18.25,9.5,"MHN",46.939834,-67.934616,6,45.523678645614,-1.79
"47","ANWRNEBR",2016,"5/10/2016",23,"5/10/2016",0,48.26,17.7,11,"MHN",46.939834,-67.934616,6,45.523678645614,-0.88
"48","ANWRNEBR",2017,"5/16/2017",35,"5/8/2017",0,80,17.4,10.25,"MHN",46.939834,-67.934616,6,45.523678645614,1.1
"49","ANWRNEBR",2018,"5/13/2018",36,"5/13/2018",5,55.8,16.7,9,"MHN",46.939834,-67.934616,6,45.523678645614,-0.83
"50","ANWROBAR",2013,"5/20/2013",1,"5/30/2013",26,62,33,27,"MHN",46.948287,-67.858388,6,45.523678645614,0.57
